2022-05-11 23:59:46+00:00,"ginting dah prediksiin bakal 2-2 ye bund🙃

btw syabda “jarang ada kesempatan untuk bertanding sekali bertanding di thomas cup mungkin keluarga besar yang nonton yang pastinya sangat senang” 😭😭 https://t.co/SVdSnlzkzD"
2022-05-11 23:59:43+00:00,Agak kasian sama tim Thomas Cup nya Jepang yang harus main jam 2 siang nanti :( padahal tau sendiri semalem kelar jam berapa...
2022-05-11 23:59:36+00:00,Mari kita mengulang final thomas cup thn lalu hari ini
2022-05-11 23:59:32+00:00,"Appreciation Post

Game 1: Tertinggal 6-10, cetak 11 angka beruntun, berbalik unggul.
Game 3: Tertinggal 7-12, cetak 9 angka beruntun, menang.

Debutan di Thomas Cup. Debut laga di 2022. Jd penentu kemenangan 🇮🇩 atas 🇰🇷.

Penampilan yg inspiratif. Terima kasih Syabda..🙏

📸:PBSI https://t.co/86FcqUM28f"
2022-05-11 23:59:09+00:00,"Pesan saya untuk memacu motivasi Syabda untuk menang dan Tim Thomas Cup Indonesia unggul 3 - 2 Korea 
😃 https://t.co/ZZ2MmgxktK"
2022-05-11 23:58:47+00:00,"Bilqis Prasista yang tadi berhasil mengalahkan Akane Yamaguchi adalah anak dari Joko Suprianto yang berhasil menghantarkan Indonesia juara 4x Thomas Cup (94,96,98,00) sementara Ibunya Zelin Resiana pemenang 2x Uber Cup (94,96). 

#TUC2022"
2022-05-11 23:58:29+00:00,"Indonesia vs China. Pertemuan 2 negara tersukses di Thomas Cup, 2 negara yg juga sama"" hanya pernah kalah 1x saja di sepanjang sejarah 8 besar Thomas Cup. Kamis malam nanti dipastikan akan jd kekalahannya yg ke-2 Indonesia/China di 8 besar Thomas Cup."
2022-05-11 23:58:18+00:00,"Appreciation Post

Game 1: Tertinggal 6-10, cetak 11 angka beruntun, berbalik unggul.
Game 3: Tertinggal 7-12, cetak 9 angka beruntun, menang.

Debutan di Thomas Cup. Debut laga di 2022. Jd penentu kemenangan 🇮🇩 atas 🇰🇷.

Penampilan yg inspiratif. Terima kasih Syabda..🙏

📸:PBSI https://t.co/86FcqUM28f"
2022-05-11 23:58:15+00:00,"Sempat tertinggal 2-0, tim Thomas Cup Indonesia berhasil comeback jadi menang 3-2 lawan tim Korea Selatan.

Laga penentu dimenangkan oleh MS debutan Indonesia, Syabda Perkasa Belawa.

Indonesia berhasil lolos ke Perempat Final sebagai peringkat 1 Grup A Thomas Cup 2022. https://t.co/z8SUFr9EC0"
2022-05-11 23:57:59+00:00,"Appreciation Post

Game 1: Tertinggal 6-10, cetak 11 angka beruntun, berbalik unggul.
Game 3: Tertinggal 7-12, cetak 9 angka beruntun, menang.

Debutan di Thomas Cup. Debut laga di 2022. Jd penentu kemenangan 🇮🇩 atas 🇰🇷.

Penampilan yg inspiratif. Terima kasih Syabda..🙏

📸:PBSI https://t.co/86FcqUM28f"
